arxiv_id	subtopic	title	published
2211.07280	assurance_transparency	A taxonomic system for failure cause analysis of open source AI incidents	2022-11-14
2211.10384	assurance_transparency	Indexing AI Risks with Incidents, Issues, and Variants	2022-11-18
2310.12941	assurance_transparency	The Foundation Model Transparency Index	2023-10-19
2402.16268	assurance_transparency	Foundation Model Transparency Reports	2024-02-26
2404.04500	assurance_transparency	Trustless Audits without Revealing Data or Models	2024-04-06
2407.06235	assurance_transparency	Auditing of AI: Legal, Ethical and Technical Approaches	2024-07-07
2409.16425	assurance_transparency	Lessons for Editors of AI Incidents from the AI Incident Database	2024-09-24
2410.21572	assurance_transparency	Safety cases for frontier AI	2024-10-28
2411.08088	assurance_transparency	Safety case template for frontier AI: A cyber inability argument	2024-11-12
2411.11317	assurance_transparency	Establishing Minimum Elements for Effective Vulnerability Management in AI Software	2024-11-18
2412.17618	assurance_transparency	Dynamic safety cases for frontier AI	2024-12-23
2502.05219	assurance_transparency	Enabling External Scrutiny of AI Systems with Privacy-Enhancing Technologies	2025-02-05
2502.05791	assurance_transparency	Assessing confidence in frontier AI safety cases	2025-02-09
2503.16861	assurance_transparency	In-House Evaluation Is Not Enough: Towards Robust Third-Party Flaw Disclosure for General-Purpose AI	2025-03-21
